Gerçek_Fiyat,Tahmin_Fiyat,Hata,Mutlak_Hata,Yüzde_Hata,Tahmin_MLP,Tahmin_LSTM,Tahmin_Transformer,Tahmin_Ensemble,Tahmin_Basit_Ensemble
26228.324,28650.787,2422.463,2422.463,9.236056,23504.81,26847.805,28650.787,25796.838,26334.469
26539.674,28451.762,1912.0879,1912.0879,7.20464,24264.791,27291.93,28451.762,26286.725,26669.494
26608.693,29487.94,2879.246,2879.246,10.820697,24861.959,27489.992,29487.94,26729.533,27279.963
26568.281,28968.28,2399.998,2399.998,9.03332,25734.82,27480.041,28968.28,26993.316,27394.38
26534.188,28870.025,2335.838,2335.838,8.803125,25295.475,27484.188,28870.025,26819.36,27216.562
26754.281,28449.723,1695.4414,1695.4414,6.337085,25547.764,27456.213,28449.723,26852.186,27151.234
27211.117,28520.05,1308.9336,1308.9336,4.81029,25526.436,27633.07,28520.05,26942.574,27226.521
27132.008,28752.508,1620.5,1620.5,5.9726505,26256.707,28052.94,28752.508,27457.762,27687.385
26567.633,27854.947,1287.3145,1287.3145,4.845424,25772.658,27906.398,27854.947,27099.46,27178.0
26579.568,27386.613,807.0449,807.0449,3.0363357,25427.486,27358.932,27386.613,26636.908,26724.344
26579.39,27273.125,693.7344,693.7344,2.6100461,25475.277,27378.688,27273.125,26652.1,26709.031
26256.826,26994.873,738.0469,738.0469,2.8108764,25944.945,27388.182,26994.873,26801.785,26776.0
26298.48,26961.805,663.3242,663.3242,2.522291,25467.455,27117.746,26961.805,26480.49,26515.67
26217.25,27221.82,1004.5703,1004.5703,3.831715,25255.799,27115.943,27221.82,26429.545,26531.188
26352.717,26929.732,577.0156,577.0156,2.1895869,24740.723,27086.547,26929.732,26188.053,26252.334
27021.547,27554.787,533.24023,533.24023,1.9733891,24588.09,27237.918,27554.787,26278.924,26460.266
26911.72,28280.23,1368.5098,1368.5098,5.085181,25058.918,27830.512,28280.23,26840.844,27056.553
26967.916,27501.361,533.4453,533.4453,1.9780738,24373.072,27734.266,27501.361,26445.936,26536.232
27983.75,27878.541,-105.208984,105.208984,-0.37596455,24619.887,27761.113,27878.541,26595.04,26753.18
27530.785,30034.68,2503.8945,2503.8945,9.09489,26151.53,28762.582,30034.68,27926.309,28316.264
27429.979,27702.193,272.21484,272.21484,0.9923991,25337.709,28339.46,27702.193,27140.299,27126.455
27799.395,27944.146,144.75195,144.75195,0.5207018,25537.365,28162.691,27944.146,27152.27,27214.734
27415.912,27729.69,313.77734,313.77734,1.1445081,25607.105,28537.7,27729.69,27345.92,27291.498
27946.598,26652.07,-1294.5273,1294.5273,-4.632147,25164.139,28158.83,26652.07,26863.863,26658.346
27968.84,28418.746,449.90625,449.90625,1.6085982,25384.12,28614.014,28418.746,27379.244,27472.291
27935.09,27769.799,-165.29102,165.29102,-0.59169674,25684.21,28619.107,27769.799,27421.035,27357.705
27583.678,27900.559,316.88086,316.88086,1.1487985,26172.438,28495.184,27900.559,27555.781,27522.727
27391.02,27070.496,-320.52344,320.52344,-1.1701771,26050.71,28007.266,27070.496,27166.607,27042.822
26873.32,27031.51,158.18945,158.18945,0.58864874,26111.05,27817.832,27031.51,27087.988,26986.797
26756.799,26129.174,-627.625,627.625,-2.3456655,25768.71,27417.104,26129.174,26652.38,26438.328
26862.375,26645.598,-216.77734,216.77734,-0.80699253,25178.322,27467.607,26645.598,26515.02,26430.51
26861.707,26648.18,-213.52734,213.52734,-0.79491353,25028.395,27581.719,26648.18,26517.37,26419.432
27159.652,26728.824,-430.82812,430.82812,-1.58628,25563.209,27681.664,26728.824,26778.402,26657.9
28519.467,27447.348,-1072.1191,1072.1191,-3.7592537,26195.664,28040.807,27447.348,27280.852,27227.938
28415.748,29996.121,1580.373,1580.373,5.5616097,27642.03,29290.074,29996.121,28751.266,28976.072
28328.342,29986.893,1658.5508,1658.5508,5.85474,27263.09,29100.268,29986.893,28510.896,28783.416
28719.807,28680.87,-38.9375,38.9375,-0.13557717,26948.73,28930.465,28680.87,28158.162,28186.688
29682.95,29319.912,-363.0371,363.0371,-1.2230493,27584.281,29294.637,29319.912,28655.348,28732.943
29918.412,32266.227,2347.8145,2347.8145,7.8473897,28656.707,30250.068,32266.227,29880.137,30391.0
29993.896,32206.297,2212.4004,2212.4004,7.3761687,28279.246,30444.17,32206.297,29830.883,30309.904
33086.234,31439.121,-1647.1133,1647.1133,-4.9782434,27610.803,30481.434,31439.121,29512.102,29843.787
33901.527,37570.152,3668.625,3668.625,10.821415,30617.166,33476.51,37570.152,32866.504,33887.94
34502.82,39405.184,4902.3633,4902.3633,14.208587,31645.182,34195.31,39405.184,33827.793,35081.89
34156.65,41284.168,7127.5195,7127.5195,20.867151,32158.38,34435.035,41284.168,34355.812,35959.19
33909.8,40395.6,6485.801,6485.801,19.126625,32054.52,33674.02,40395.6,33827.082,35374.715
34089.574,40120.38,6030.8047,6030.8047,17.691053,31811.309,33159.594,40120.38,33441.566,35030.426
34538.48,40081.92,5543.4414,5543.4414,16.050043,31730.258,33007.562,40081.92,33329.047,34939.914
34502.363,39933.168,5430.8047,5430.8047,15.740384,32038.316,33173.418,39933.168,33512.668,35048.3
34667.78,39646.02,4978.2383,4978.2383,14.35984,32380.92,33092.15,39646.02,33567.227,35039.7
35437.254,39604.46,4167.207,4167.207,11.759396,32709.484,33303.93,39604.46,33794.17,35205.957
34938.242,40788.547,5850.3047,5850.3047,16.744703,33607.145,34157.305,40788.547,34701.617,36184.332
34732.324,39373.367,4641.043,4641.043,13.362317,33847.46,33543.523,39373.367,34317.76,35588.117
35082.2,38877.09,3794.8906,3794.8906,10.817141,32951.08,33162.15,38877.09,33730.02,34996.77
35049.355,38713.78,3664.4258,3664.4258,10.455045,32941.332,33322.945,38713.78,33790.086,34992.688
35037.37,38098.246,3060.875,3060.875,8.73603,32921.953,33211.4,38098.246,33656.08,34743.863
35443.562,37410.617,1967.0547,1967.0547,5.549822,33546.348,33307.875,37410.617,33861.973,34754.945
35655.277,37381.23,1725.9531,1725.9531,4.840667,33339.11,33932.35,37381.23,34100.145,34884.23
36693.125,37454.754,761.6289,761.6289,2.075672,32751.979,34289.656,37454.754,34070.727,34832.13
37313.97,39421.598,2107.629,2107.629,5.6483645,34157.63,35191.113,39421.598,35282.12,36256.78
37138.05,40827.027,3688.9766,3688.9766,9.9331455,34159.434,35757.477,40827.027,35731.53,36914.645
37054.52,40335.414,3280.8945,3280.8945,8.854236,34428.582,35491.492,40335.414,35640.91,36751.832
36502.355,39886.23,3383.875,3383.875,9.270292,33894.71,35376.75,39886.23,35330.94,36385.895
35537.64,37804.418,2266.7773,2266.7773,6.3785257,33642.28,34947.992,37804.418,34781.207,35464.895
37880.582,35702.56,-2178.0234,2178.0234,-5.7497096,32471.514,34100.695,35702.56,33670.406,34091.59
36154.77,40121.74,3966.9688,3966.9688,10.972186,34113.336,36158.906,40121.74,35839.617,36797.996
36596.684,36640.562,43.878906,43.878906,0.11989859,32455.016,34631.895,36640.562,34042.035,34575.824
36585.703,38658.504,2072.8008,2072.8008,5.665603,33147.4,35025.06,38658.504,34731.516,35610.316
37386.547,38276.67,890.125,890.125,2.3808696,33193.656,35182.387,38276.67,34786.094,35550.906
37476.957,39824.605,2347.6484,2347.6484,6.2642446,34441.984,36123.445,39824.605,35911.234,36796.676
35813.812,38690.383,2876.5703,2876.5703,8.032014,35011.152,36095.84,38690.383,35982.383,36599.125
37432.34,35632.062,-1800.2773,1800.2773,-4.8094172,33054.027,34518.06,35632.062,34094.53,34401.383
37289.62,39042.3,1752.6797,1752.6797,4.700181,34567.4,35975.547,39042.3,35794.117,36528.418
37720.28,38338.844,618.5625,618.5625,1.6398672,34535.703,35979.465,38338.844,35704.566,36284.67
37796.793,38647.78,850.9883,850.9883,2.2514827,34426.957,36492.785,38647.78,35961.188,36522.508
37479.12,37578.223,99.10156,99.10156,0.26441807,33796.918,36467.008,37578.223,35590.35,35947.38
37254.168,37438.812,184.64453,184.64453,0.49563456,33540.26,36350.438,37438.812,35418.598,35776.504
37831.086,37149.99,-681.09766,681.09766,-1.800365,33999.12,36074.59,37149.99,35417.13,35741.234
37858.492,38200.426,341.9336,341.9336,0.90318865,34477.938,36649.113,38200.426,36009.605,36442.49
37712.746,37881.81,169.0625,169.0625,0.44829008,33575.996,36598.277,37881.81,35608.902,36018.69
38688.75,37808.457,-880.29297,880.29297,-2.2753203,33642.617,36386.98,37808.457,35517.57,35946.016
39476.332,39643.746,167.41406,167.41406,0.4240872,35444.516,37518.367,39643.746,36980.406,37535.543
39978.39,40846.41,868.01953,868.01953,2.1712217,35524.773,38347.113,40846.41,37570.47,38239.434
41980.098,41251.703,-728.39453,728.39453,-1.7350949,35326.695,38768.055,41251.703,37757.23,38448.816
44080.65,43669.785,-410.86328,410.86328,-0.93207175,36869.76,40581.973,43669.785,39537.867,40373.84
43746.445,47042.504,3296.0586,3296.0586,7.5344605,38627.375,42381.69,47042.504,41499.895,42683.855
43292.664,47259.96,3967.2969,3967.2969,9.163901,38735.625,41844.973,47259.96,41290.723,42613.52
44166.6,47352.195,3185.5938,3185.5938,7.2126756,38085.176,41330.277,47352.195,40793.785,42255.883
43725.984,49380.465,5654.4805,5654.4805,12.931625,39596.586,42212.508,49380.465,42042.008,43729.855
43779.7,49430.73,5651.0312,5651.0312,12.907881,39092.473,41811.605,49430.73,41653.445,43444.938
41243.832,49080.562,7836.7305,7836.7305,19.000977,39196.277,41857.96,49080.562,41676.47,43378.266
41450.223,46290.934,4840.711,4840.711,11.678371,37899.84,39707.812,46290.934,39774.434,41299.53
42890.742,47051.266,4160.5234,4160.5234,9.700283,37339.58,39896.51,47051.266,39746.664,41429.12
43023.973,49617.11,6593.1367,6593.1367,15.324333,38392.01,41168.363,49617.11,41082.656,43059.16
41929.758,50086.137,8156.379,8156.379,19.452482,38448.51,41230.914,50086.137,41188.96,43255.188
42240.117,46649.656,4409.539,4409.539,10.43922,37900.965,40035.832,46649.656,39983.2,41528.816
41364.664,46224.934,4860.2695,4860.2695,11.74981,37283.008,40379.906,46224.934,39879.023,41295.95
42623.54,44429.16,1805.6211,1805.6211,4.2362065,37806.867,39633.75,44429.16,39490.848,40623.26
42270.527,45835.883,3565.3555,3565.3555,8.434613,37939.73,40515.86,45835.883,40151.055,41430.492
43652.25,44026.613,374.36328,374.36328,0.85760367,37348.957,40069.863,44026.613,39496.336,40481.812
43869.152,46158.848,2289.6953,2289.6953,5.2193747,38406.098,41363.24,46158.848,40796.004,41976.062
43997.902,47778.637,3780.7344,3780.7344,8.592988,38707.27,41793.133,47778.637,41312.305,42759.684
43739.543,48036.2,4296.6562,4296.6562,9.8232765,38783.902,42129.37,48036.2,41542.164,42983.156
43016.117,46977.477,3961.3594,3961.3594,9.209012,38659.957,41750.695,46977.477,41182.125,42462.71
43613.14,44947.24,1334.0977,1334.0977,3.0589352,39311.11,40972.023,44947.24,40798.555,41743.457
42520.402,47040.1,4519.699,4519.699,10.629483,39083.727,41511.188,47040.1,41225.85,42545.004
43442.855,44685.605,1242.75,1242.75,2.8606546,38399.266,40398.258,44685.605,40133.203,41161.043
42627.855,46752.55,4124.6953,4124.6953,9.676056,38866.816,41294.035,46752.55,41000.82,42304.47
42099.402,44876.598,2777.1953,2777.1953,6.596757,38735.195,40501.6,44876.598,40333.8,41371.13
42156.902,44543.566,2386.664,2386.664,5.661384,37973.21,40041.895,44543.566,39774.945,40852.89
42265.188,44311.242,2046.0547,2046.0547,4.840993,37400.043,39939.18,44311.242,39480.92,40550.152
44167.336,44648.535,481.19922,481.19922,1.0894911,38667.367,40090.918,44648.535,40072.52,41135.605
